lemma	freq	stratum	donors	sources	verdict	note
ír	82086	modern	German|Turkic languages	borrowed		
telefon	79426	modern	German	borrowed		
román	78038	modern	French|German|Romanian	borrowed		
grafikus	76676	modern	German	borrowed		
templom	74969	modern	Latin	borrowed		
kor	74238	ancient	Turkic languages	borrowed		
roma	73146	unclassified	Romani	borrowed		
brit	72995	modern	German	borrowed		
író	72332	unclassified	Old Chuvash	borrowed		
múzeum	72241	modern	Latin	borrowed		
eset	71545	modern	Latin	semantic		
abszolút	71490	modern	Latin	borrowed		
drága	71325	ancient	South Slavic languages|West Slavic languages	borrowed		
szerver	70749	modern	English	borrowed		
verzió	68726	modern	Late Latin	borrowed		
konferencia	67763	modern	New Latin	borrowed		
lemez	66373	ancient	Slavic languages	borrowed		
plusz	64350	modern	Latin	borrowed		
rend	61462	ancient	Slavic languages	borrowed		
szín	59848	ancient	East Slavic languages|West Slavic languages	borrowed		
gonosz	59821	ancient	Slavic languages	borrowed		
forma	59458	modern	Latin	borrowed		
energia	57938	modern	Latin	borrowed		
mester	57799	modern	Italian|Old French	borrowed		
marketing	57423	modern	English	borrowed		
technika	56844	modern	German	borrowed		
sárga	56691	ancient	Turkic languages	borrowed		
mód	55706	modern	Latin	borrowed		
molnár	53727	ancient	Slavic languages	borrowed		
akció	53330	modern	Latin	borrowed		
pápa	52283	modern	Latin	borrowed		
kommunikáció	51282	modern	English	borrowed		
cseh	50123	unclassified	Czech	borrowed		
para	50033	unclassified	Ottoman Turkish	borrowed		
automatikus	49985	modern	German	borrowed		
gáz	49097	modern	German	borrowed		
csoda	48977	ancient	Slavic languages	borrowed		
album	48905	modern	German	borrowed		
pap	48789	ancient	Slavic languages|South Slavic languages	borrowed		
show	48305	modern	English	borrowed		
tök	48167	ancient	South Slavic languages	borrowed		
régió	48100	modern	Latin	borrowed		
hotel	47969	modern	German	borrowed		
demokratikus	46933	modern	German	borrowed		
index	46360	modern	Latin	borrowed		
ablak	46047	ancient	Slovak	borrowed		
kód	45426	modern	English	borrowed		
csinál	44935	ancient	Slavic languages	borrowed		
torta	44451	modern	Italian	borrowed		
szlovák	43892	ancient	Slovak	borrowed		
vers	43453	modern	Latin	borrowed		
református	43302	modern	New Latin	borrowed|learned		
kosár	43287	ancient	South Slavic languages	borrowed		
vicc	43195	modern	German	borrowed		
szombat	43152	ancient	East Slavic languages|South Slavic languages	borrowed		
szovjet	42702	modern	Russian	borrowed		
futó	41963	modern	German	semantic		
típus	41559	modern	Latin	borrowed		
teszt	41483	modern	English	borrowed		
gimnázium	40672	modern	German	borrowed		
teve	40653	ancient	Turkic languages	borrowed		
tárca	40539	modern	German	borrowed		
politikus	40495	modern	Latin	borrowed		
szemét	40392	ancient	South Slavic languages|West Slavic languages	borrowed		
sort	39233	modern	English	borrowed		
beszéd	38950	ancient	Slavic languages	borrowed		
dinamikus	38005	modern	German	borrowed		
csatorna	37680	ancient	Serbo-Croatian	borrowed		
funkció	37603	modern	Latin	borrowed		
evangélikus	36946	modern	Latin	borrowed		
rock	36774	modern	English	borrowed		
konyha	36669	ancient	Slavic languages	borrowed		
apa	36391	ancient	Turkic languages	borrowed		
terem	36244	ancient	Slavic languages	borrowed		
ülés	35837	modern	German	semantic		
papír	35459	modern	German	borrowed		
kapitány	35446	modern	German|Italian	borrowed		
direkt	35283	modern	German	borrowed		
house	35252	modern	English	borrowed		
major	34957	unclassified	Bavarian	borrowed		
buli	34928	modern	German	borrowed		
bír	34922	ancient	Turkic languages	borrowed		
kamara	34829	modern	French|Latin	borrowed|learned|semantic		
követ	34783	modern	English	semantic		
tenger	34622	unclassified	Oghur languages	borrowed		
reklám	34467	modern	German	borrowed		
memória	34367	modern	Latin	borrowed		
dupla	33961	modern	Latin	borrowed		
puszta	32838	ancient	Slavic languages	borrowed		
tisza	32812	ancient	Slavic languages	borrowed		
tipikus	31784	modern	German	borrowed		
karaván	31056	modern	German	borrowed		
font	30903	modern	English	borrowed		
meccs	30722	modern	English	borrowed		
tábor	30315	ancient	Turkic languages	borrowed		
üveg	29955	ancient	Alanic	borrowed		
illegális	29575	modern	Latin	borrowed		
hála	29285	ancient	South Slavic languages	borrowed		
horvát	29148	ancient	Serbo-Croatian|Slavic languages	borrowed		
amatőr	29121	modern	German	borrowed		
csere	29119	modern	Russian	borrowed		
telek	28799	unclassified	Oghur languages	borrowed		
opera	28372	modern	Italian	borrowed		
anno	28360	modern	Latin	borrowed		
próbál	28346	modern	Latin	borrowed		
lord	28190	modern	English	borrowed		
macska	28143	ancient	Slavic languages	borrowed		
tánc	27720	modern	German	borrowed		
mágikus	27461	modern	Latin	borrowed		
minta	27429	unclassified	Southern Sami	borrowed		
script	27136	modern	English	borrowed		
vacsora	26958	ancient	Serbo-Croatian|Slavic languages|Slovak	borrowed		
videó	26936	modern	English	borrowed		
erotikus	26863	modern	German	borrowed		
csata	26788	ancient	Serbo-Croatian	borrowed		
export	26677	modern	English	borrowed		
analóg	26392	modern	German	borrowed		
bölcs	26379	ancient	Turkic languages	borrowed		
kamera	26040	modern	English	borrowed		
publikus	25806	modern	Latin	borrowed		
infrastruktúra	25682	modern	English	borrowed		
herceg	25559	unclassified	Middle High German	borrowed		
sors	25325	modern	Latin	borrowed		
pláne	25211	modern	Latin	borrowed		
muszáj	25117	modern	German	borrowed		
szerencse	25036	ancient	South Slavic languages	borrowed		
kampány	24946	modern	German	borrowed		
korona	24741	modern	Latin	borrowed		
asztal	24729	modern	English|Slavic languages	borrowed|semantic		
koncepció	24523	modern	Latin	borrowed		
garancia	24375	modern	German	borrowed		
tematikus	24304	modern	German	borrowed		
platform	24301	modern	German	borrowed		
bátor	24117	ancient	Turkic languages	borrowed		
csütörtök	23969	ancient	South Slavic languages	borrowed		
tábla	23614	modern	Latin	borrowed		
kompatibilis	23250	modern	English	borrowed		
hall	23096	modern	German	borrowed		
fegyver	23048	unclassified	Middle High German	borrowed		
tej	22992	ancient	Iranian languages	borrowed		
integráció	22931	modern	Latin	borrowed		
olaj	22720	ancient	Slavic languages	borrowed		
egér	22419	modern	English	semantic		
modem	22411	modern	English	borrowed		
front	22100	modern	German	borrowed		
menedzsment	21984	modern	English	borrowed		
tükör	21937	unclassified	Oghur languages	borrowed		
pilóta	21815	modern	German	borrowed		
hardver	21814	modern	English	borrowed		
stop	21525	modern	English	borrowed|orthographic		
várta	21474	unclassified	Middle High German	borrowed		
terasz	21454	modern	French	borrowed		
óriás	21450	modern	Russian	borrowed		
szuper	21276	modern	Latin	borrowed		
próba	21191	modern	Latin	borrowed		
kliens	20752	modern	Latin	borrowed		
ebéd	20578	ancient	Slavic languages	borrowed		
import	20496	modern	English	borrowed		
tragikus	20251	modern	Latin	borrowed		
zsűri	19878	modern	English	borrowed		
kereszt	19867	ancient	South Slavic languages	borrowed		
western	19717	modern	English	borrowed		
szimpatikus	19567	modern	German	borrowed		
torony	19457	modern	German	borrowed		
vonat	19442	modern	German	semantic		
gazda	19428	ancient	Slavic languages	borrowed		
rózsa	19403	modern	Latin	borrowed		
idea	19273	modern	Latin	borrowed		
chat	19239	modern	English	borrowed		
nulla	19163	modern	Latin	borrowed		
mágia	19133	modern	Late Latin	borrowed		
misztikus	19037	modern	Latin	borrowed		
parti	18980	modern	English|German	borrowed		
kádár	18938	ancient	Slovak|South Slavic languages	borrowed		
terror	18912	modern	English	borrowed|orthographic		
márka	18852	modern	German	borrowed		
chip	18422	modern	English	borrowed		
generáció	18409	modern	Latin	borrowed		
tea	18173	modern	Dutch	borrowed		
medence	18154	ancient	Slavic languages	borrowed		
logikus	18118	modern	Medieval Latin	borrowed		
csaj	17914	unclassified	Romani	borrowed		
praktikus	17886	modern	Latin	borrowed		
garázs	17777	modern	German	borrowed		
palota	17758	ancient	Slavic languages	borrowed		
infláció	17676	modern	Latin	borrowed		
centrum	17647	modern	Latin	borrowed		
kicsiny	17524	ancient	Turkic languages	borrowed		
ész	17488	ancient	Turkic languages	borrowed		
panel	17486	modern	English	borrowed|orthographic		
labda	17479	ancient	Slavic languages	borrowed		
bő	17451	ancient	Ottoman Turkish|Turkic languages	borrowed		
vért	17437	ancient	Alanic	borrowed		
opció	16947	modern	Latin	borrowed		
banda	16923	modern	Italian	borrowed		
udvar	16579	ancient	Slavic languages	borrowed		
figura	16483	modern	Latin	borrowed		
zár	16448	ancient	South Slavic languages|West Slavic languages	borrowed		
kulcs	16418	ancient	Slavic languages	borrowed		
zsinat	16388	modern	Latin	borrowed		
reneszánsz	16328	modern	French	borrowed		
szekció	16277	modern	German	borrowed		
evangélium	16190	modern	Latin	borrowed		
kastély	16013	unclassified	Gallo-Italic languages	borrowed		
nonprofit	15919	modern	English	borrowed		
civilizáció	15903	modern	French	borrowed		
fan	15903	modern	English	borrowed|orthographic		
bolt	15803	modern	Italian	borrowed		
tucat	15652	modern	German	borrowed		
betyár	15640	ancient	Serbo-Croatian	borrowed		
produkció	15530	modern	English|French	borrowed		
precíz	15404	modern	German	borrowed		
tok	15398	ancient	Turkic languages	borrowed		
apostol	15347	modern	Late Latin	borrowed		
patak	15294	ancient	Slavic languages	borrowed		
kel	14911	unclassified	Bavarian	borrowed		
szimbolikus	14906	modern	German	borrowed		
anime	14861	modern	English	borrowed		
pogány	14799	modern	Medieval Latin	borrowed		
producer	14735	modern	English	borrowed|orthographic		
bolond	14684	ancient	Slavic languages	borrowed		
dél	14658	unclassified	Oghur languages	borrowed		
workshop	14583	modern	English	borrowed		
paraszt	14555	ancient	Slavic languages	borrowed		
oroszlán	14534	ancient	Turkic languages	borrowed		
vitéz	14486	ancient	South Slavic languages	borrowed		
hifi	14449	modern	English	borrowed		
kulcsár	14363	ancient	South Slavic languages	borrowed		
duma	14324	modern	Romani|Russian	borrowed		
klikk	14293	modern	English	borrowed		
gyümölcs	14283	unclassified	Oghur languages	borrowed		
medve	14121	ancient	Slavic languages	borrowed		
tendencia	14086	modern	German	borrowed		
kávé	14034	unclassified	Ottoman Turkish	borrowed		
blog	14032	modern	English	borrowed		
menedzser	14029	modern	English	borrowed		
krónikus	13923	modern	Latin	borrowed		
humor	13831	modern	Latin	borrowed		
gitár	13654	modern	German	borrowed		
stand	13652	modern	German	borrowed		
junior	13633	modern	Latin	borrowed		
konfliktus	13554	modern	Latin	borrowed		
sereg	13512	ancient	Turkic languages	borrowed		
profit	13487	modern	German	borrowed		
tiszt	13482	ancient	Slavic languages	borrowed		
zászló	13424	ancient	Serbo-Croatian|Slovene	borrowed		
globalizáció	13373	modern	English	borrowed		
lift	13372	modern	British English	borrowed		
spam	13336	modern	English	borrowed		
pokol	13284	ancient	Serbo-Croatian|Slovene	borrowed		
harmonikus	13237	modern	German	borrowed		
trófea	13231	modern	German	borrowed		
oszlop	13161	ancient	Slavic languages	borrowed		
protokoll	13161	modern	German	borrowed		
gyűrű	12997	unclassified	Oghur languages	borrowed		
turista	12934	modern	English	borrowed		
mechanikus	12737	modern	German	borrowed		
specifikus	12730	modern	Medieval Latin	borrowed		
lokális	12721	modern	Latin	borrowed		
rák	12719	ancient	Slavic languages	borrowed		
oláh	12710	ancient	Old Church Slavonic	borrowed		
szintetikus	12458	modern	German	borrowed		
pásztor	12424	ancient	Slavic languages	borrowed		
reakció	12352	modern	Latin	borrowed		
musical	12347	modern	English	borrowed		
egzotikus	12148	modern	Latin	borrowed		
sci-fi	12012	modern	English	borrowed|orthographic		
pintér	11993	modern	Bavarian|German	borrowed		
kondor	11918	modern	Spanish	borrowed		
komponens	11899	modern	Latin	borrowed		
evolúció	11866	modern	Latin	borrowed		
intelligencia	11803	modern	Latin	borrowed		
szégyen	11769	ancient	Slavic languages	borrowed		
laptop	11761	modern	English	borrowed		
lánc	11747	ancient	Slavic languages	borrowed		
cukor	11707	modern	German	borrowed		
kapacitás	11655	modern	Latin	borrowed		
pince	11641	ancient	Slavic languages	borrowed		
széria	11614	modern	German	borrowed		
sofőr	11501	modern	German	borrowed		
diktatúra	11444	modern	Latin	borrowed		
hacker	11369	modern	English	borrowed		
vásár	11368	ancient	Iranian languages	borrowed		
beton	11294	modern	German	borrowed		
leszbikus	11287	modern	Latin	borrowed		
fair	11284	modern	English	borrowed		
soul	11216	modern	English	borrowed		
pixel	11158	modern	English	borrowed		
gól	11146	modern	English	borrowed		
kozmikus	11121	modern	English	borrowed		
meló	11114	unclassified	Yiddish	borrowed		
erkély	11092	modern	German	borrowed		
boy	11076	modern	English	borrowed		
tar	11058	unclassified	Oghur languages	borrowed		
statikus	10965	modern	English	borrowed		
koalíció	10929	modern	English|French	borrowed		
blues	10915	modern	English	borrowed		
náci	10888	modern	German	borrowed		
riporter	10746	modern	English	borrowed		
báró	10707	modern	Medieval Latin	borrowed		
labor	10702	modern	German	borrowed		
suli	10688	modern	German	borrowed		
konstrukció	10543	modern	Latin	borrowed		
bajor	10496	modern	German	borrowed		
hun	10492	modern	Latin	borrowed		
frekvencia	10489	modern	German	borrowed		
szék	10417	ancient	Turkic languages	borrowed		
szerviz	10354	unclassified	Austrian German	borrowed		
formula	10344	modern	Latin	borrowed		
mágus	10313	modern	Latin	borrowed		
fehérje	10230	modern	German	semantic		
privatizáció	10220	modern	English	borrowed		
mér	10216	ancient	Slavic languages	borrowed		
radioaktív	10185	modern	German	borrowed		
ökumenikus	10180	modern	Late Latin	borrowed		
leg	10029	modern	English	borrowed		
masszázs	10026	modern	German	borrowed		
bárány	9996	ancient	Slavic languages	borrowed		
byte	9972	modern	English	borrowed		
malac	9923	ancient	Slovene	borrowed		
diszkrimináció	9902	modern	English	borrowed		
akusztikus	9880	modern	German	borrowed		
kamat	9854	ancient	Serbo-Croatian	borrowed		
epizód	9826	modern	German	borrowed		
pozíció	9821	modern	Latin	borrowed		
kocka	9816	ancient	West Slavic languages	borrowed		
random	9809	modern	English	borrowed|orthographic		
szolidaritás	9802	modern	French	borrowed		
turné	9726	modern	French	borrowed		
narancs	9670	unclassified	Old Italian	borrowed		
társ	9596	ancient	Slavic languages	borrowed		
tompa	9535	ancient	Slavic languages	borrowed		
alt	9508	modern	German	borrowed		
tészta	9444	ancient	Slavic languages	borrowed		
gyárt	9427	ancient	Turkic languages	borrowed		
empirikus	9358	modern	Latin	borrowed		
csap	9298	modern	German	borrowed		
bináris	9260	modern	Late Latin	borrowed		
gomba	9233	ancient	Slavic languages	borrowed		
puszi	9150	unclassified	Austrian German	borrowed		
tengely	9117	ancient	Turkic languages	borrowed		
korrupció	9072	modern	Latin	borrowed		
aktivitás	9036	modern	German	borrowed		
szolga	8991	ancient	Slavic languages	borrowed		
basszus	8841	modern	Medieval Latin	borrowed		
frakció	8810	modern	Latin	borrowed		
animáció	8791	modern	Latin	borrowed		
mínusz	8776	modern	Latin	borrowed		
kincs	8751	ancient	Turkic languages	borrowed		
szimfonikus	8706	modern	German	borrowed		
abszurd	8674	modern	Latin	borrowed		
bika	8672	ancient	Turkic languages	borrowed		
zóna	8668	modern	German	borrowed		
szláv	8592	modern	German	borrowed		
laikus	8575	modern	Medieval Latin	borrowed		
ámen	8564	modern	Late Latin	borrowed		
horror	8544	modern	Latin	borrowed		
dús	8528	modern	Italian	borrowed		
sajt	8512	ancient	Alanic	borrowed		
puzzle	8499	modern	English	borrowed		
oxigén	8488	modern	German	borrowed		
szakács	8476	modern	Russian	borrowed		
szimpla	8468	modern	Medieval Latin	borrowed		
absztrakt	8297	modern	English	semantic		
drasztikus	8292	modern	Latin	borrowed		
analitikus	8252	modern	Latin	borrowed		
méreg	8199	ancient	Alanic	borrowed		
akut	8185	modern	German	borrowed		
hé	8102	unclassified	Hebrew	borrowed		
tolerancia	8032	modern	Latin	borrowed		
gótikus	8016	modern	German	borrowed		
béna	8013	ancient	Slovak	borrowed		
disznó	7996	unclassified	Oghur languages	borrowed		
haver	7987	unclassified	Yiddish	borrowed		
szór	7964	unclassified	Volga Bulgar	borrowed		
paprika	7919	ancient	Serbo-Croatian	borrowed		
béka	7902	ancient	Turkic languages	borrowed		
idióta	7835	modern	Latin	borrowed		
paradox	7816	modern	German	borrowed		
bizarr	7791	modern	German	borrowed		
konzultáció	7779	modern	Latin	borrowed		
kökény	7744	ancient	Turkic languages	borrowed		
tinédzser	7722	modern	English	borrowed		
spin	7720	modern	English	borrowed|orthographic		
tégla	7688	modern	Latin	borrowed		
sátor	7664	ancient	Turkic languages	borrowed		
kompetencia	7661	modern	German	borrowed		
gaz	7559	ancient	Ossetian|Slavic languages	borrowed		
büfé	7554	modern	French	borrowed		
tank	7536	modern	English	borrowed|orthographic		
felhő	7534	modern	English	semantic		
szett	7508	modern	English	borrowed		
cet	7388	modern	Latin	borrowed		
bosszú	7383	ancient	Turkic languages	borrowed		
koncentráció	7355	modern	German	borrowed		
mikrofon	7239	modern	German	borrowed		
dohány	7233	unclassified	Ottoman Turkish	borrowed		
tranzakció	7220	modern	German	borrowed		
plébánia	7211	modern	Latin	borrowed		
adminisztráció	7086	modern	Latin	borrowed		
barom	7066	ancient	Turkic languages	borrowed		
innováció	7023	modern	New Latin	borrowed		
halom	7012	ancient	Slavic languages	borrowed		
akadémikus	7001	modern	New Latin	borrowed		
özvegy	6990	ancient	Alanic	borrowed		
apát	6963	ancient	Serbo-Croatian|Slovene	borrowed		
kacsa	6960	ancient	Slovak	borrowed		
kódex	6957	modern	Latin	borrowed		
kocsma	6938	ancient	Slavic languages	borrowed		
bál	6931	modern	German	borrowed		
alibi	6926	modern	German	borrowed		
szán	6902	ancient	Slavic languages|Turkic languages	borrowed		
futball	6877	modern	English	borrowed		
tanú	6863	ancient	Turkic languages	borrowed		
farm	6852	modern	English	borrowed		
reformáció	6837	modern	Latin	borrowed		
láda	6833	modern	German	borrowed		
hierarchikus	6781	modern	German	borrowed		
pajzs	6753	modern	Italian	borrowed		
esztétikus	6742	modern	German	borrowed		
balhé	6720	unclassified	Austrian German	borrowed		
démon	6720	modern	Latin	borrowed		
bűvös	6719	ancient	Turkic languages	borrowed		
kalmár	6719	modern	German	borrowed		
nokedli	6711	modern	German	borrowed		
novella	6631	modern	Italian	borrowed		
sétál	6617	ancient	South Slavic languages	borrowed		
horoszkóp	6585	modern	German	borrowed		
komló	6555	ancient	Turkic languages	borrowed		
boksz	6549	modern	English|German	borrowed		
delegáció	6522	modern	Latin	borrowed		
bét	6515	unclassified	Hebrew	borrowed		
korom	6497	ancient	Turkic languages	borrowed		
kompozíció	6433	modern	Latin	borrowed		
formáció	6409	modern	Latin	borrowed		
kreativitás	6385	modern	English	borrowed		
szituáció	6369	modern	Late Latin	borrowed		
germán	6360	modern	Latin	borrowed		
motiváció	6327	modern	Latin	borrowed		
matrica	6320	modern	German	borrowed		
geometria	6286	modern	Latin	borrowed		
rutin	6278	modern	French	borrowed		
cigaretta	6268	modern	German	borrowed		
szonda	6255	modern	German	borrowed		
terminál	6224	modern	English	borrowed		
turul	6198	ancient	Turkic languages	borrowed		
aktus	6189	modern	Latin	borrowed		
kos	6180	ancient	Turkic languages	borrowed		
maszk	6150	modern	German	borrowed		
konkurens	6129	modern	German	borrowed		
dimenzió	6119	modern	Latin	borrowed		
himnusz	6106	modern	Latin	borrowed		
gabona	6091	ancient	South Slavic languages	borrowed		
szalon	6081	modern	German	borrowed		
liberalizmus	6070	modern	German	borrowed		
bors	6066	ancient	Turkic languages	borrowed		
gyertya	6041	ancient	Turkic languages	borrowed		
kémény	6037	modern	German	borrowed		
autentikus	6014	modern	Latin	borrowed		
csésze	5947	unclassified	Czech	borrowed		
aura	5919	modern	Latin	borrowed		
smaragd	5898	modern	German	borrowed		
kelta	5880	modern	Latin	borrowed		
gyémánt	5875	modern	German	borrowed		
cinikus	5848	modern	Latin	borrowed		
bognár	5837	modern	German	borrowed		
norma	5831	modern	Latin	borrowed		
kontakt	5795	modern	German	borrowed		
tanya	5788	ancient	Old East Slavic	borrowed		
rap	5787	modern	English	borrowed		
definíció	5753	modern	Latin	borrowed		
fólia	5715	modern	German	borrowed		
csávó	5695	unclassified	Romani	borrowed		
pardon	5693	modern	French|German	borrowed		
konkurencia	5679	modern	German	borrowed		
felni	5613	modern	German	borrowed		
expedíció	5610	modern	Latin	borrowed		
hormon	5596	modern	English	borrowed		
ironikus	5595	modern	German	borrowed		
rehabilitáció	5556	modern	Latin	borrowed		
organikus	5544	modern	Latin	borrowed		
hidraulikus	5535	modern	German	borrowed		
lencse	5532	ancient	South Slavic languages	borrowed		
ászok	5520	ancient	Turkic languages	borrowed		
szimmetrikus	5490	modern	German	borrowed		
disztribúció	5489	modern	Latin	borrowed		
mítosz	5472	unclassified	Ancient Greek	borrowed		
néger	5427	modern	German	borrowed		
nacionalista	5416	modern	German	borrowed		
rab	5405	ancient	Serbo-Croatian|South Slavic languages	borrowed		
troll	5382	modern	English	borrowed		
pult	5381	modern	German	borrowed		
rakéta	5365	modern	German	borrowed		
zseni	5351	modern	German	borrowed		
intervallum	5322	modern	Latin	borrowed		
vodka	5294	modern	Russian	borrowed		
palack	5245	ancient	Slavic languages	borrowed		
meditáció	5243	modern	Latin	borrowed		
kapitalista	5218	modern	German	borrowed		
kalória	5192	modern	German	borrowed		
horizontális	5165	modern	German	borrowed		
col	5140	modern	German	borrowed		
táncol	5124	modern	German	borrowed		
kompromisszum	5117	modern	Latin	borrowed		
abortusz	5112	modern	New Latin	borrowed		
gyász	5086	unclassified	Old Chuvash	borrowed		
asszisztens	5084	modern	German	borrowed		
allergia	5059	modern	German	borrowed		
kántor	5046	modern	Latin	borrowed		
operatőr	5045	modern	French	borrowed		
ábrázol	5044	ancient	Slavic languages	borrowed		
gigantikus	5042	modern	German	borrowed		
sámán	5036	modern	German	borrowed		
pikáns	5034	modern	German	borrowed		
gála	5017	modern	German	borrowed		
kontinentális	5016	modern	English|French	borrowed		
csizma	4971	ancient	Serbo-Croatian	borrowed		
rekonstrukció	4963	modern	German	borrowed		
arat	4939	ancient	Turkic languages	borrowed		
indirekt	4936	modern	German	borrowed		
taktika	4934	modern	Latin	borrowed		
hossz	4926	modern	French	borrowed		
gát	4912	ancient	Slovak|South Slavic languages	borrowed		
akvárium	4907	modern	French|German	borrowed		
karma	4903	unclassified	Sanskrit	borrowed		
móka	4900	modern	Italian	borrowed		
heterogén	4892	modern	German	borrowed		
pletyka	4882	ancient	Slovak	borrowed		
albán	4860	modern	Latin	borrowed		
tömény	4852	ancient	Turkic languages	borrowed		
feudális	4849	modern	Medieval Latin	borrowed		
árok	4833	ancient	Turkic languages	borrowed		
ezoterikus	4823	modern	Latin	borrowed		
remete	4821	modern	Italian	borrowed		
mitikus	4810	modern	German	borrowed		
sakk	4808	modern	German	borrowed		
meta	4803	modern	English	borrowed|orthographic		
agresszió	4795	modern	German	borrowed		
tradíció	4789	modern	Latin	borrowed		
populáció	4787	modern	Late Latin	borrowed		
konfiguráció	4760	modern	New Latin	borrowed		
kommentár	4751	modern	German	borrowed		
variáció	4745	modern	Latin	borrowed		
stroke	4727	modern	English	borrowed		
lecke	4725	modern	Latin	borrowed		
hidrogén	4716	modern	German	borrowed		
realitás	4703	modern	Latin	borrowed		
winchester	4701	modern	English	borrowed		
rúd	4697	modern	German	borrowed		
ostrom	4691	modern	German	borrowed		
skorpió	4678	modern	Latin	borrowed		
len	4676	ancient	Slavic languages	borrowed		
gyomor	4663	unclassified	Oghur languages	borrowed		
klip	4657	modern	English	borrowed		
szamár	4655	modern	Italian	borrowed		
porta	4649	modern	Latin	borrowed		
banán	4643	modern	French	borrowed		
orgona	4640	modern	Medieval Latin	borrowed		
tolmács	4636	ancient	Slavic languages|Turkic languages	borrowed		
influenza	4625	modern	Italian	borrowed		
ál	4602	ancient	Turkic languages	borrowed		
expozíció	4584	modern	Latin	borrowed		
szkeptikus	4554	modern	German	borrowed		
franc	4536	modern	Latin	borrowed		
karton	4531	modern	German	borrowed		
szisztematikus	4524	modern	German	borrowed		
sokk	4513	modern	German	borrowed		
lat	4512	modern	German	borrowed		
sapka	4506	ancient	Serbo-Croatian	borrowed		
prostitúció	4479	modern	Latin	borrowed		
pite	4475	ancient	Ottoman Turkish|Romanian|Serbo-Croatian	borrowed		
korrupt	4458	modern	German	borrowed		
watt	4455	modern	English	borrowed|orthographic		
energikus	4454	modern	German	borrowed		
krumpli	4454	unclassified	Austrian German|Bavarian	borrowed		
krém	4434	modern	French|German	borrowed		
mostoha	4431	ancient	Bulgarian	borrowed		
szekta	4403	modern	Latin	borrowed		
mackó	4340	modern	German|Slovak	borrowed|semantic		
görény	4325	unclassified	Oghur languages	borrowed		
pavilon	4316	modern	German	borrowed		
akku	4291	modern	German	borrowed		
mozaik	4290	modern	German	borrowed		
tölgy	4275	ancient	Alanic	borrowed		
drót	4268	modern	German	borrowed		
bróker	4261	modern	English	borrowed		
